id,title,year,mpaa,runtime,genres,director,stars,gross
14624,First Love,1977,R,-1,-1,Joan Darling,"William Katt,Susan Dey",-1
14625,First Light,2017,-1,-1,Thriller/Suspense,Jason Stone,Stefanie Scott,-1
14626,First Knight,1995,PG-13,134 minutes,Drama,Jerry Zucker,Richard Gere,"$127,361,412"
14627,First Lady of the Revolution,2016,Not Rated,71 minutes,Documentary,Andrea Kalin,-1,-1
14628,First Kill,2017,R,97 minutes,Action,Steven C. Miller,-1,"$73,707"
14629,The First Great Train Robbery,1979,-1,-1,Action,Michael Crichton,-1,-1
14630,First Kid,1996,PG,101 minutes,Adventure,-1,-1,-1
14631,The First Grader,2011,PG-13,103 minutes,Drama,Justin Chadwick,"Naomie Harris,Oliver Litondo","$355,731"
14632,Center Stage: On Pointe,2016,PG,-1,-1,Director X,-1,-1
14633,The Center of the World,2001,Not Rated,-1,Drama,Wayne Wang,-1,"$1,496,037"
14634,Cenizas del cielo,2008,-1,-1,Drama,-1,-1,"$282,362"
14635,Cendrillon au Far West,2012,PG,-1,-1,-1,-1,"$84,673"
14636,Center Stage,2000,PG-13,113 minutes,Drama,Nicholas Hytner,"Amanda Schull,Zoe Saldana,Susan May Pratt,Peter Gallagher,Donna Murphy,Ethan Stiefel","$21,361,109"
14637,Cenaze Ä°ÅŸleri,2017,-1,100 minutes,Comedy,Korhan UÄŸur,-1,"$46,757"
14638,La cena di Natale,2016,-1,95 minutes,Comedy,Marco Ponti,-1,"$2,232,120"
14639,La Cena Per Farli Conoscere,2007,-1,-1,-1,-1,-1,-1
14640,"Celtic Woman - A New Journey: Live at Slane Castle, Ireland",2007,-1,-1,Concert/Performance,-1,-1,-1
14641,Cemetery Junction,2010,R,-1,Comedy,-1,-1,"$2,357,547"
14642,The Cemetery Club,1993,PG-13,-1,Comedy,Bill Duke,"Olympia Dukakis,Ellen Burstyn,Diane Ladd,Danny Aiello",-1
14643,Celtic Woman,2005,-1,-1,Concert/Performance,-1,-1,-1
14644,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,2004,-1,-1,Documentary,-1,-1,-1
14645,King Rat,2016,-1,-1,Comedy,Henry Johnston,-1,-1
14646,Celtic Pride,1996,PG-13,-1,Comedy,-1,-1,-1
14647,The Celluloid Closet,1996,-1,102 minutes,Documentary,Rob Epstein,-1,-1
14648,King Ralph,1991,PG,-1,Comedy,-1,-1,-1
14649,Cellular,2004,PG-13,95 minutes,Thriller/Suspense,David R. Ellis,"Kim Basinger,Chris Evans,Jason Statham,William H. Macy","$61,475,984"
14650,King of Triads,2011,R,-1,-1,-1,-1,-1
14651,King of the Mountain,1981,-1,-1,Drama,-1,-1,-1
14652,King of the Jungle,2017,-1,-1,Comedy,Glenn Ficarra,-1,-1
14653,The King of the Hill Invitational 8-Ball Shootout Mike Sigel vs. Efren Reyes,2010,-1,-1,Documentary,-1,-1,-1
14654,King of the Jungle,2001,R,-1,-1,-1,-1,-1
14655,King of the Gypsies,1978,-1,-1,-1,-1,-1,-1
14656,King of the Hill,1993,-1,-1,-1,Steven Soderbergh,-1,-1
14657,King of the Elves,2012,-1,-1,Adventure,-1,-1,-1
14658,King of the Belgians,2016,-1,94 minutes,Drama,Peter Brosens,-1,"$187,558"
14659,King of the Avenue,2010,R,-1,Thriller/Suspense,-1,-1,-1
14660,Jordon Saffron: Taste This!,2009,R,-1,-1,-1,-1,-1
14661,King of Prism: Pride the Hero,2016,-1,90 minutes,Adventure,-1,-1,"$921,740"
14662,King of Prism by Pretty Rhythm,2015,-1,59 minutes,Adventure,-1,-1,"$910,797"
14663,Jongens,2015,-1,-1,Drama,Mischa Kamp,-1,-1
14664,Jonestown: The Life and Death of People's Temple,2006,Not Rated,-1,-1,-1,-1,-1
14665,Jora 10 Numbaria,2017,-1,135 minutes,Action,-1,-1,"$5,498"
14666,The Joneses,2010,R,96 minutes,-1,-1,-1,"$3,541,565"
14667,Jonny Quest,2017,-1,-1,Adventure,Robert Rodriguez,-1,-1
14668,Jopog Manura 3,2006,-1,-1,-1,-1,-1,-1
14669,Jonathan Livingston Seagull,1973,-1,-1,-1,-1,-1,-1
14670,Jonathan,2017,-1,-1,-1,Piotr J. Lewandowski,-1,-1
14671,Jonas Kaufmann: An Evening With Puccini,2015,-1,156 minutes,Concert/Performance,Brian Large,-1,"$3,954"
14672,Jonah,2009,-1,-1,Comedy,-1,-1,-1
14673,Jonas Brothers: The 3D Concert Experience,2009,G,76 minutes,Concert/Performance,-1,"Joe Jonas,Nick Jonas,Kevin Jonas","$30,428,831"
14674,The Next Hit,2010,-1,-1,Action,-1,-1,-1
14675,Jonah: A VeggieTales Movie,2002,G,-1,Adventure,-1,-1,"$25,608,779"
14676,Jonah Hex,2010,PG-13,81 minutes,Action,Jimmy Hayward,"Josh Brolin,John Malkovich,Megan Fox","$11,022,696"
14677,The Next Karate Kid,1994,PG,-1,Action,-1,-1,"$15,851,228"
14678,Next Goal Wins,2014,Not Rated,97 minutes,Documentary,Steve Jamison,-1,"$127,671"
14679,The Next Big Thing,2002,R,-1,-1,-1,-1,-1
14680,The Next Avengers: Heroes of Tomorrow,2008,-1,-1,Adventure,-1,-1,-1
14681,The Next Best Thing,2000,PG-13,-1,Drama,John Schlesinger,-1,"$24,355,762"
14682,Next Friday,2000,R,-1,Comedy,Steve Carr,Ice Cube,"$59,675,307"
14683,Next Day Air,2009,R,84 minutes,Comedy,-1,-1,"$10,172,519"
14684,Newtown,2016,Not Rated,85 minutes,Documentary,Kim A Snyder,-1,-1
14685,The Newton Boys,1998,PG-13,-1,Drama,Richard Linklater,-1,-1
14686,Newton,2017,-1,106 minutes,Drama,Amit V Masurkar,-1,"$3,152,554"
14687,Next,2007,PG-13,96 minutes,Action,Lee Tamahori,"Nicolas Cage,Julianne Moore","$73,591,500"
14688,Newsflash,2018,-1,-1,Drama,David Gordon Green,Seth Rogen,-1
14689,Newsies,1992,PG,-1,-1,-1,Christian Bale,-1
14690,"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura",2008,-1,-1,-1,-1,-1,"$1,574,571"
14691,One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi,2008,Not Rated,-1,Adventure,-1,-1,-1
14692,One Piece 8,2007,-1,-1,-1,-1,-1,-1
14693,One of Us,2017,-1,-1,-1,Blake Reigle,-1,-1
14694,One Percent More Humid,2017,R,-1,-1,Liz W. Garcia,-1,-1
14695,One Peace at a Time,2009,Not Rated,83 minutes,Documentary,Turk Pipkin,-1,-1
14696,One Night Stand: Creating a Play in a Day,2013,-1,-1,-1,-1,-1,-1
14697,One Night Only,2016,-1,102 minutes,Action,-1,-1,"$5,230,619"
14698,One Night Stan,2016,-1,-1,Comedy,Bobby Farrelly,-1,-1
14699,One Night at McCool's,2001,R,-1,Black Comedy,-1,Matt Dillon,"$13,441,957"
14700,One Night with the King,2006,PG,123 minutes,Drama,Michael O. Sajbel,Tiffany Dupont,"$13,725,032"
14701,One Night Stand,1997,R,102 minutes,Drama,Mike Figgis,"Wesley Snipes,Nastassja Kinski,Ming-Na Wen,Robert Downey, Jr.,Kyle MacLachlan",-1
14702,One Nation Under Bob,2011,-1,-1,Comedy,-1,-1,-1
14703,Bastard Son of a Thousand Fathers,2016,R,78 minutes,Thriller/Suspense,Lanre Sarumi,"Lanre Sarumi,Tirf Alexius,Remoh Romeo,Hugh Grady",-1
14704,One More Time with Feeling,2016,Not Rated,113 minutes,Documentary,Andrew Dominik,-1,"$350,054"
14705,Bastard Out of Carolina,1996,-1,-1,Drama,Anjelica Huston,-1,-1
14706,Bastard,2015,R,-1,Horror,Powell Robinson,-1,$261
14707,Basquiat,1996,R,-1,Drama,Julian Schnabel,Jeffrey Wright,-1
14708,Baskin,2016,Not Rated,97 minutes,Horror,Can Evrenol,Gorkem Kasal,"$226,042"
14709,The Basketball Diaries,1995,R,104 minutes,Drama,Scott Kalvert,Leonardo DiCaprio,-1
14710,Basmati Blues,2018,Not Rated,94 minutes,Musical,Danny Baron,"Brie Larson,Utkarsh Ambudkar","$15,651"
14711,Basket Case 3,1991,-1,90 minutes,Black Comedy,-1,-1,-1
14712,The Basket,2000,PG,-1,Drama,-1,-1,-1
14713,Basket Case 2,1990,-1,90 minutes,Black Comedy,-1,-1,-1
14714,Basket Case,1982,-1,90 minutes,Black Comedy,Frank Henenlotter,-1,-1
14715,Basic Instinct,1992,R,128 minutes,Thriller/Suspense,Paul Verhoeven,"Sharon Stone,Michael Douglas","$352,700,000"
14716,Basic Instinct 2,2006,R,114 minutes,Thriller/Suspense,Michael Caton-Jones,Sharon Stone,"$35,417,162"
14717,Basement Jack,2009,R,-1,-1,-1,-1,-1
14718,Mamaâ€™s Boy,2008,PG-13,-1,Comedy,Tim Hamilton,Diane Keaton,-1
14719,Basic,2003,R,98 minutes,Thriller/Suspense,John McTiernan,"John Travolta,Samuel L. Jackson","$42,598,498"
14720,Maman est chez le coiffeur,2008,Not Rated,97 minutes,Drama,-1,-1,-1
14721,Mamaboy,2016,PG-13,-1,Comedy,Aaron Leong,-1,-1
14722,The Mama Sherpas,2015,Not Rated,77 minutes,Documentary,Brigid Maher,-1,-1
14723,"Mama, I Want to Sing!",2008,PG,-1,Musical,-1,-1,-1
14724,Mama Africa,2018,Not Rated,90 minutes,Documentary,Mika Kaurismaki,-1,-1
14725,Partner,2007,Not Rated,136 minutes,Romantic Comedy,-1,-1,"$21,916,101"
14726,Partition,2007,-1,-1,Drama,-1,-1,-1
14727,Partisan,2015,Not Rated,98 minutes,Thriller/Suspense,Ariel Kleiman,Vincent Cassel,"$91,430"
14728,Leave,2011,R,-1,-1,-1,-1,-1
14729,Leather Life,2015,-1,-1,Drama,-1,-1,"$2,086"
14730,Leatherheads,2008,PG-13,114 minutes,Romantic Comedy,George Clooney,"George Clooney,RenÃ©e Zellweger","$41,348,628"
14731,The Least Among You,2010,PG-13,-1,-1,-1,-1,-1
14732,Least Among Saints,2012,R,105 minutes,Drama,Martin Papazian,"Martin Papazian,Tristan Lake Leabu",-1
14733,Leatherface,2017,R,90 minutes,Horror,Alexandre Bustillo,-1,"$887,540"
14734,Leatherface: Texas Chainsaw Massacre III,1990,-1,85 minutes,Horror,Jeff Burr,-1,-1
14735,Learning to Drive,2015,R,105 minutes,Drama,Isabel Coixet,"Patricia Clarkson,Ben Kingsley","$6,132,564"
14736,Learning Italian,2011,-1,-1,Comedy,-1,-1,-1
14737,LeapFrog: Math Adventure to the Moon,2010,-1,-1,Educational,-1,-1,-1
14738,The Learning Curve,2001,-1,113 minutes,Thriller/Suspense,-1,-1,-1
14739,A Leap of Faith,1996,-1,-1,Documentary,Jenifer McShane,-1,-1
14740,Leap Year,2010,PG,119 minutes,Romantic Comedy,Anand Tucker,"Amy Adams,Matthew Goode","$32,618,920"
14741,Aladdin,2019,-1,-1,Adventure,Guy Ritchie,-1,-1
14742,Al Posto Tuo,2016,-1,90 minutes,Comedy,Max Croci,-1,"$1,216,646"
14743,Alabama Moon,2011,PG,98 minutes,Adventure,-1,-1,-1
14744,Aladdin,1992,G,90 minutes,Adventure,John Musker,"Scott Weinger,Brad Kane,Linda Larkin,Lea Salonga,Jonathan Freeman","$504,050,219"
14745,Al Franken: God Spoke,2006,Not Rated,-1,Documentary,-1,-1,-1
14746,Al di lÃ  delle nuvole,1999,-1,-1,Drama,Wim Wenders,-1,-1
14747,Al final del tÃºnel,2016,-1,-1,Thriller/Suspense,Rodrigo Large,-1,"$770,213"
14748,Al Berto,2017,-1,109 minutes,Drama,Vicente Alves do Ã“,-1,"$25,109"
14749,Aku no Kyoten,2012,-1,129 minutes,Thriller/Suspense,-1,-1,"$26,837,117"
14750,Al Desierto,2017,-1,94 minutes,Drama,Ulises Rosell,-1,-1
14751,The Akron Holy War,2017,PG,95 minutes,Documentary,Anthony Fanelli,-1,-1
14752,Aksar 2,2017,-1,117 minutes,Thriller/Suspense,Anant Mahadevan,-1,"$864,602"
14753,Akron,2017,Not Rated,88 minutes,Drama,Sasha King,-1,-1
14754,Akira,2016,-1,134 minutes,Drama,G. Naveen Reddy,-1,"$70,695"
14755,Incerta Gloria,2016,-1,115 minutes,Drama,Agusti Villaronga,-1,"$770,975"
14756,Akmareul Boatda,2011,Not Rated,143 minutes,Thriller/Suspense,Kim Jee-woon,Byeong-Heon Lee,"$13,168,809"
14757,Aknyeo,2017,Not Rated,124 minutes,Action,Jung Byoung-Gil,-1,"$8,818,918"
14758,El incendio,2015,-1,-1,Thriller/Suspense,Juan Schnitman,-1,$259
14759,Incendies,2010,R,130 minutes,Drama,Denis Villeneuve,Melissa Desormeaux-Poulin,"$16,038,343"
14760,Incendiary,2009,R,-1,-1,-1,"Michelle Williams,Ewan McGregor",-1
14761,Incendiary: The Willingham Case,2011,Not Rated,102 minutes,Documentary,Steve Mims,-1,-1
14762,Incantato,2004,Not Rated,-1,Drama,Pupi Avati,-1,-1
14763,Inception,2010,PG-13,147 minutes,Thriller/Suspense,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page","$832,402,082"
14764,Incarnate,2016,PG-13,86 minutes,Thriller/Suspense,Brad Peyton,"Aaron Eckhart,Carice van Houten","$7,041,835"
14765,The Inbetweeners 2,2015,Not Rated,92 minutes,Comedy,Damon Beesley,-1,"$58,000,000"
14766,Inbred,2011,R,-1,Horror,-1,-1,-1
14767,The Inbetweeners,2012,R,96 minutes,Comedy,Ben Palmer,"Simon Bird,James Buckley,Blake Harrison,Joe Thomas","$86,051,320"
14768,InAPPropriate Comedy,2013,R,84 minutes,Comedy,Vince Offer,"Rob Schneider,Michelle Rodriguez,Adrien Brody,Lindsay Lohan",-1
14769,In Utero,2016,-1,-1,Documentary,Kathleen Man Gyllenhaal,-1,-1
14770,"In weiter Ferne, so nah!",1993,-1,-1,Drama,Wim Wenders,-1,-1
14771,In Tranzit,2009,R,-1,-1,-1,-1,-1
14772,Extreme Measures,1996,R,-1,Drama,Michael Apted,-1,-1
14773,Extreme Ops,2002,PG-13,-1,Action,Christian Duguay,-1,"$12,624,471"
14774,Extreme Force,2001,R,-1,-1,-1,-1,-1
14775,Extreme Movie,2008,R,-1,Comedy,-1,-1,"$81,338"
14776,Extreme Days,2001,PG,-1,Action,-1,-1,-1
14777,Extreme Dating,2005,-1,-1,Comedy,Lorena David,-1,-1
14778,Extraordinary: The Stan Romanek Story,2017,-1,-1,-1,Jon Sumple,-1,-1
14779,Extraterrestre,2012,-1,93 minutes,Comedy,Nacho Vigalondo,"Julian Villagran,Michelle Jenner",-1
14780,Extraterrestrial,2014,Not Rated,107 minutes,Horror,The Vicious Brothers,-1,"$71,103"
14781,Extraordinary Tales,2015,Not Rated,73 minutes,Horror,Raul Garcia,-1,-1
14782,Extraordinary Ordinary People,2017,Not Rated,84 minutes,Documentary,Alan Govenar,-1,-1
14783,Extraordinary Mission,2018,-1,122 minutes,Action,-1,-1,"$22,682,660"
14784,Extreme,1999,Not Rated,40 minutes,Documentary,-1,-1,"$25,956,958"
14785,Extraordinary,2017,-1,86 minutes,Drama,Scotty Curlee,"Leland Klassen,Shari Rigby,Karen Abercrombie,Kirk Cameron",-1
14786,Heaven and Earth,2011,-1,-1,Drama,-1,-1,-1
14787,Heaven Can Wait,1978,PG,101 minutes,Comedy,Warren Beatty,"Warren Beatty,Julie Christie",-1
14788,Heaven & Earth,1993,PG-13,-1,Drama,Oliver Stone,-1,-1
14789,Heaven is for Real,2014,PG,100 minutes,Drama,Randall Wallace,-1,"$100,919,111"
14790,Heaven Help Us,1985,-1,-1,Comedy,-1,Andrew McCarthy,-1
14791,Extraordinary Measures,2010,PG,106 minutes,Drama,Tom Vaughan,"Brendan Fraser,Harrison Ford","$15,826,984"
14792,Heaven Ain't Hard to Find,2011,PG-13,-1,Drama,-1,-1,-1
14793,Heaven Adores You,2015,Not Rated,104 minutes,Documentary,Nickolas Rossi,-1,-1
14794,Heaven,2002,R,-1,Thriller/Suspense,Tom Tykwer,-1,-1
14795,Heaven,1999,-1,-1,-1,-1,-1,-1
14796,Heatstroke,2014,Not Rated,91 minutes,Thriller/Suspense,Evelyn Purcell,"Stephen Dorff,Svetlana Metkina,Maisie Williams",-1
14797,Heathens and Thieves,2010,R,-1,-1,-1,-1,-1
14798,Heathcliff: The Movie,1986,G,70 minutes,Adventure,-1,-1,-1
14799,Deep Throat,1972,-1,-1,-1,-1,-1,-1
14800,Heat and Dust,1983,R,133 minutes,Drama,James Ivory,Julie Christie,-1
14801,The Deep,1977,PG,-1,Thriller/Suspense,Peter Yates,-1,-1
14802,Heathers,1989,-1,-1,-1,Michael Lehmann,-1,-1
14803,The Heat,2013,R,117 minutes,Comedy,Paul Feig,"Sandra Bullock,Melissa McCarthy","$229,727,774"
14804,Deep Red,2018,-1,127 minutes,Thriller/Suspense,Dario Argento,-1,-1
14805,Deep Rising,1998,R,-1,Action,Stephen Sommers,-1,-1
14806,Deep In The Heart,2012,PG-13,-1,Drama,-1,-1,-1
14807,Deep in My Heart,1954,-1,132 minutes,-1,-1,-1,-1
14808,Deep Gold 3D,2011,PG-13,83 minutes,Action,Michael Gleissner,"Bebe Pham,Jaymee Ong",-1
14809,Deep Impact,1998,PG-13,123 minutes,Adventure,Mimi Leder,-1,"$349,464,664"
14810,The Deep End of the Ocean,1999,PG-13,-1,Drama,-1,Michelle Pfeiffer,-1
14811,Deep Dark Canyon,2012,R,-1,Thriller/Suspense,Abe Levy,-1,-1
14812,The Deep End,2001,R,-1,Thriller/Suspense,Scott McGehee,-1,"$9,981,635"
14813,Deep Cover,1992,R,-1,Action,Bill Duke,-1,-1
14814,The Deep Blue Sea - NT Live 2016,2016,-1,150 minutes,Concert/Performance,Carrie Cracknell,-1,"$955,198"
14815,Deep Blue Sea 2,2018,R,-1,Action,Darin Scott,-1,-1
14816,Go Tigers,2001,R,-1,-1,-1,-1,-1
14817,Deep Sea 3D,2006,G,40 minutes,Documentary,Howard Hall,-1,"$88,042,920"
14818,The Deep Blue Sea,2012,R,98 minutes,Drama,Terence Davies,"Rachel Weisz,Tom Hiddleston","$3,824,457"
14819,Go Now!,1998,-1,-1,-1,-1,-1,-1
14820,Go North,2017,Not Rated,105 minutes,Thriller/Suspense,Matthew Ogens,"Jacob Lofland,Sophie Kennedy Clark",-1
14821,Go-ji-jeon,2012,-1,133 minutes,Action,Jang Hun,"Shin Ha-kyun,Ko Soo","$19,603,449"
14822,Go Goa Gone,2013,Not Rated,108 minutes,Horror,-1,-1,"$3,811,040"
14823,Go Go Tales,2009,-1,-1,Comedy,Abel Ferrara,-1,-1
14824,Go Go 70's,2008,-1,118 minutes,Drama,-1,-1,"$1,693,645"
14825,The Go-Getter,2008,R,-1,Drama,Martin Hynes,-1,"$12,094"
14826,Go Fast,2008,-1,110 minutes,-1,-1,-1,"$4,893,014"
14827,Go For Zucker,2005,Not Rated,-1,Comedy,-1,-1,-1
14828,Go Diego Go! Underwater Mystery,2007,-1,-1,-1,-1,-1,-1
14829,"Go, Diego, Go! - The Great Jaguar Rescue",2007,-1,-1,-1,-1,-1,-1
14830,Go For Sisters,2013,Not Rated,122 minutes,Thriller/Suspense,John Sayles,"Edward James Olmos,LisaGay Hamilton,Yolanda Ross",-1
14831,Go For It!,2011,PG-13,106 minutes,Drama,Carmen Marron,Aimee Garcia,"$182,358"
14832,First Daughter and the Black Snake,2017,-1,-1,Documentary,Keri Pickett,-1,-1
14833,The Go-betweens: Right Here,2017,-1,95 minutes,Documentary,Kriv Stenders,-1,"$48,544"
14834,The First Film,2016,PG,110 minutes,Documentary,David Nicholas Wilkinson,-1,-1
14835,First Family,1980,-1,-1,Comedy,-1,-1,-1
14836,First Descent,2005,PG-13,-1,Documentary,-1,-1,-1
14837,First Daughter,2004,PG,106 minutes,Romantic Comedy,Forest Whitaker,-1,"$10,419,084"
14838,The First $20 Million,2002,PG-13,-1,-1,-1,-1,-1
14839,The First American,2018,-1,-1,Documentary,Kevin Knoblock,-1,-1
14840,The First Basket,2008,Not Rated,-1,Documentary,-1,-1,-1
14841,First Blood,1982,R,-1,Action,Ted Kotcheff,Sylvester Stallone,"$125,212,904"
14842,The Firm,1993,R,155 minutes,Thriller/Suspense,Sydney Pollack,Tom Cruise,"$270,340,892"
14843,FÄ±rÄ±ldak Ailesi,2016,-1,88 minutes,Adventure,-1,-1,"$1,034,764"
14844,Fireworks,1998,-1,103 minutes,Drama,Takeshi Kitano,-1,-1
14845,The Cellar Door,2008,R,-1,Horror,-1,-1,-1
14846,Cell 213,2010,R,-1,Horror,-1,-1,-1
14847,Firewall,2006,PG-13,105 minutes,Thriller/Suspense,Richard Loncraine,"Harrison Ford,Virginia Madsen,Carly Schroeder,Jimmy Bennett","$82,751,189"
14848,Firewalker,1986,PG,104 minutes,Adventure,Jack Lee Thompson,Chuck Norris,-1
14849,The Cell,2000,R,108 minutes,Thriller/Suspense,Tarsem Singh,Jennifer Lopez,"$85,911,226"
14850,The Cell 2,2009,R,-1,-1,-1,-1,-1
14851,CÃ©line et Julie vont en bateau,2012,Not Rated,192 minutes,-1,-1,-1,-1
14852,The Celestine Prophecy,2006,PG,-1,Adventure,-1,-1,"$1,276,994"
14853,Cell,2016,R,97 minutes,Thriller/Suspense,Tod Williams,"Samuel L. Jackson,John Cusack","$735,841"
14854,A Celebration of Peace Through Music,2015,-1,114 minutes,Concert/Performance,Janos Darvas,-1,-1
14855,Celeste and Jesse Forever,2012,R,91 minutes,Romantic Comedy,Lee Toland Krieger,"Rashida Jones,Andy Samberg","$3,787,689"
14856,Celebrity,1998,R,113 minutes,Comedy,Woody Allen,"Hank Azaria,Kenneth Branagh,Judy Davis,Leonardo DiCaprio,Melanie Griffith,Famke Janssen,Michael Lerner,Joe Mantegna,Bebe Neuwirth,Winona Ryder,Charlize Theron","$6,200,000"
14857,Celebrate Studio Gibili,2017,-1,-1,Multiple Genres,-1,-1,"$717,736"
14858,Celda 211,2009,-1,-1,-1,-1,-1,"$15,200,000"
14859,Cecil B. Demented,2000,R,-1,Black Comedy,John Waters,-1,"$1,953,882"
14860,Cease Fire!,1953,-1,75 minutes,Documentary,Owen Crump,-1,-1
14861,Cebimdeki YabancÄ±,2017,-1,95 minutes,Thriller/Suspense,Serra Yilmaz,-1,"$2,830,647"
14862,Cedar Rapids,2011,R,87 minutes,Comedy,Miguel Arteta,Ed Helms,"$7,862,131"
14863,King of Paper Chasin',2010,R,-1,-1,-1,-1,-1
14864,The King of New Orleans,2017,-1,-1,-1,Allen Frederic,-1,-1
14865,King of New York,1990,-1,-1,Action,Abel Ferrara,-1,-1
14866,The King of Masks,1999,Not Rated,-1,Drama,-1,-1,-1
14867,King of Kings,1961,PG-13,-1,-1,-1,-1,-1
14868,The King of Kong,2007,PG-13,-1,Documentary,Seth Gordon,-1,"$790,985"
14869,The King of Comedy,1983,-1,-1,Comedy,Martin Scorsese,Robert De Niro,-1
14870,King Naresuan 4,2011,-1,-1,-1,-1,-1,"$2,323,926"
14871,King of California,2007,PG-13,-1,Drama,-1,"Michael Douglas,Evan Rachel Wood","$1,165,102"
14872,King Naresuan 3,2010,-1,-1,-1,-1,-1,"$4,712,115"
14873,King Liar,2016,-1,157 minutes,Comedy,-1,-1,"$18,818"
14874,King Naresuan 2,2007,-1,-1,-1,-1,-1,-1
14875,King Lear,1971,PG-13,137 minutes,-1,-1,-1,-1
14876,King Leopold's Ghost,2006,PG-13,-1,Documentary,-1,-1,-1
14877,King Kong Lives,1986,-1,-1,Adventure,John Guillermin,-1,-1
14878,The Jolson Story,1946,-1,128 minutes,-1,-1,-1,-1
14879,Jolly LLB,2013,Not Rated,136 minutes,Comedy,Tigmanshu Dhulia,"Saif Ali Khan,Sonakshi Sinha","$5,801,422"
14880,Jolly LLB 2,2017,Not Rated,140 minutes,Black Comedy,-1,-1,"$25,461,514"
14881,The Jokesters,2015,Not Rated,78 minutes,Black Comedy,AJ Wedding,-1,-1
14882,Jolene,2010,R,120 minutes,Drama,Dan Ireland,Jessica Chastain,-1
14883,JoJo no kimyÃ´ na bÃ´ken: Daiyamondo wa kudakenai,2017,-1,119 minutes,Adventure,Takashi Miike,-1,"$19,143"
14884,Joker,2012,Not Rated,100 minutes,Comedy,Shirish Kunder,Akshay Kumar,"$4,116,517"
14885,Jojakdwen doshi,2017,-1,126 minutes,Adventure,Kwang-Hyun Park,-1,"$18,755,496"
14886,Johnson Family Vacation,2004,PG-13,-1,Comedy,Christopher Erskin,-1,"$31,286,759"
14887,Johnson Family Dinner,2008,-1,-1,Comedy,-1,-1,-1
14888,Johns,1997,R,-1,-1,-1,"Lukas Haas,David Arquette",-1
14889,Johnny Suede,1991,R,97 minutes,Drama,Tom DiCillo,"Brad Pitt,Catherine Keener",-1
14890,Johnny Handsome,1989,-1,-1,Drama,Walter Hill,-1,-1
14891,Johnny Mnemonic,1995,R,-1,Action,Robert Longo,"Keanu Reeves,Dolph Lundgren,Takeshi,Ice-T,Dina Meyer",-1
14892,Johnny Guitar,1954,Not Rated,110 minutes,Western,Ray Nicholas,-1,"$4,767"
14893,Newness,2017,-1,112 minutes,Drama,Drake Doremus,-1,"$104,469"
14894,Newlyweeds,2013,R,87 minutes,Comedy,Shaka King,Amari Cheatom,-1
14895,The Newest Pledge,2012,R,-1,-1,-1,-1,-1
14896,Newcomer,2014,-1,-1,Thriller/Suspense,Kai Barry,-1,-1
14897,Newlyweds,2012,R,93 minutes,Comedy,Edward Burns,"Edward Burns,Kerry Bishe",-1
14898,New York Stories,1989,PG,-1,Drama,Francis Ford Coppola,-1,-1
14899,New York State Of Mind,2017,-1,-1,Drama,Richie Cerda,-1,-1
14900,New York Says Thank You,2011,G,-1,Documentary,-1,-1,-1
14901,The New York Review of Books: A 50 Year Argument,2014,-1,-1,Documentary,Martin Scorsese,-1,-1
14902,"New York, New York",1977,-1,-1,Musical,Martin Scorsese,Robert De Niro,-1
14903,New York New York,2016,Not Rated,106 minutes,Drama,Dong Luo,"Ethan Ruan,Du Juan","$1,536,965"
14904,New York in the Fifties,2001,Not Rated,-1,-1,-1,-1,-1
14905,New York Minute,2004,PG,91 minutes,Comedy,Dennie Gordon,-1,"$21,215,882"
14906,One More Round,2005,Not Rated,-1,Comedy,-1,-1,-1
14907,One More Time,2016,Not Rated,95 minutes,Comedy,Robert Edwards,"Christopher Walken,Amber Heard",-1
14908,One More Chance,2007,-1,-1,Drama,-1,-1,"$1,497,862"
14909,"New York, I Love You",2009,R,103 minutes,Drama,Jiang Wen,"Bradley Cooper,Hayden Christensen,Andy Garcia,Rachel Bilson,Natalie Portman,Irfan Khan,Emilie Ohana,Orlando Bloom,Christina Ricci,Maggie Q,Ethan Hawke,Anton Yelchin,James Caan,Olivia Thirlby,Drea de Matteo,Julie Christie,John Hurt,Shia LaBeouf,Ugur Yucel,Taylor Geare,Carlos Acosta,Shu Qi,Chris Cooper,Robin Wright-Penn,Eli Wallach,Cloris Leachman","$9,725,060"
14910,One Missed Call Final,2006,-1,-1,-1,-1,-1,"$4,810,002"
14911,One Million Dubliners,2015,Not Rated,83 minutes,Documentary,Aoife Kelleher,-1,-1
14912,One Million Years B.C.,2004,-1,-1,-1,Don Chaffey,-1,-1
14913,One Missed Call,2008,PG-13,87 minutes,Horror,-1,"Shannyn Sossamon,Edward Burns","$44,513,466"
14914,One Man's Hero,1999,-1,-1,-1,-1,-1,-1
14915,One Magic Christmas,1985,-1,-1,Drama,-1,-1,-1
14916,One Lucky Elephant,2011,-1,81 minutes,Documentary,Lisa Leeman,-1,"$3,394"
14917,One Last Heist,2017,R,-1,Thriller/Suspense,Ronnie Thompson,-1,-1
14918,One in the Chamber,2012,R,-1,Action,-1,-1,-1
14919,One in the Chamber,2017,-1,-1,Action,Darius Shahmir,-1,-1
